Date,"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
2021-11-29,Afghanistan,157261,7308,140530,9423,3915.0,182.0,791514,19707.0,40164434,Asia,235.0
2021-11-30,Afghanistan,157289,7308,140549,9432,3916.0,182.0,792156,19723.0,40164434,Asia,235.0
2021-12-01,Afghanistan,157289,7308,140549,9432,3916.0,182.0,792156,19723.0,40164434,Asia,235.0
2021-12-02,Afghanistan,157371,7309,140581,9481,3918.0,182.0,793293,19749.0,40169237,Asia,236.0
2021-12-03,Afghanistan,157423,7311,140609,9503,3919.0,182.0,794668,19782.0,40171638,Asia,237.0
2021-12-04,Afghanistan,157455,7312,140723,9420,3919.0,182.0,796349,19820.0,40178842,Asia,234.0
2021-12-05,Afghanistan,157499,7316,140809,9374,3920.0,182.0,797783,19856.0,40178842,Asia,233.0
2021-11-29,Albania,199750,3092,189227,7431,69518.0,1076.0,1392736,484707.0,2873357,Europe,2586.0
2021-11-30,Albania,199945,3096,189784,7065,69586.0,1077.0,1394136,485194.0,2873357,Europe,2459.0
2021-12-01,Albania,199945,3096,189784,7065,69586.0,1077.0,1394136,485194.0,2873357,Europe,2459.0
2021-12-02,Albania,200173,3101,190378,6694,69666.0,1079.0,1395649,485724.0,2873339,Europe,2330.0
2021-12-03,Albania,201045,3108,191386,6551,69969.0,1082.0,1400658,487468.0,2873331,Europe,2280.0
2021-12-04,Albania,201730,3110,192238,6382,70208.0,1082.0,1405077,489011.0,2873305,Europe,2221.0
2021-12-05,Albania,201902,3115,192428,6359,70268.0,1084.0,1406517,489512.0,2873305,Europe,2213.0
2021-11-29,Algeria,210344,6064,144295,59985,4678.0,135.0,230861,5134.0,44968076,Africa,1334.0
2021-11-30,Algeria,210531,6071,144450,60010,4682.0,135.0,230861,5134.0,44968076,Africa,1335.0
2021-12-01,Algeria,210531,6071,144450,60010,4682.0,135.0,230861,5134.0,44968076,Africa,1335.0
2021-12-02,Algeria,210723,6076,144602,60045,4686.0,135.0,230861,5133.0,44972408,Africa,1335.0
2021-12-03,Algeria,211112,6089,144909,60114,4694.0,135.0,230861,5133.0,44974575,Africa,1337.0
2021-12-04,Algeria,211469,6103,145195,60171,4701.0,136.0,230861,5132.0,44981074,Africa,1338.0
2021-12-05,Algeria,211662,6111,145350,60201,4706.0,136.0,230861,5132.0,44981074,Africa,1338.0
2021-11-29,Andorra,17115,131,15903,1081,221010.0,1692.0,193595,2499935.0,77440,Europe,13959.0
2021-11-30,Andorra,17185,131,15955,1099,221914.0,1692.0,193595,2499935.0,77440,Europe,14192.0
2021-12-01,Andorra,17185,131,15955,1099,221914.0,1692.0,193595,2499935.0,77440,Europe,14192.0
2021-12-02,Andorra,17426,131,16029,1266,225026.0,1692.0,193595,2499935.0,77440,Europe,16348.0
2021-12-03,Andorra,18010,132,16162,1716,232564.0,1705.0,193595,2499903.0,77441,Europe,22159.0
2021-12-04,Andorra,18443,132,16162,2149,238152.0,1705.0,204343,2638659.0,77442,Europe,27750.0
2021-12-05,Andorra,18631,133,16446,2052,240580.0,1717.0,204343,2638659.0,77442,Europe,26497.0
2021-11-29,Angola,65155,1733,63206,216,1899.0,51.0,1179270,34375.0,34306210,Africa,6.0
2021-11-30,Angola,65168,1733,63214,221,1900.0,51.0,1179270,34375.0,34306210,Africa,6.0
2021-12-01,Angola,65168,1733,63214,221,1900.0,51.0,1179270,34375.0,34306210,Africa,6.0
2021-12-02,Angola,65183,1735,63257,191,1900.0,51.0,1179270,34369.0,34311823,Africa,6.0
2021-12-03,Angola,65223,1735,63295,193,1901.0,51.0,1192540,34753.0,34314630,Africa,6.0
2021-12-04,Angola,65259,1735,63325,199,1901.0,51.0,1192540,34745.0,34323049,Africa,6.0
2021-12-05,Angola,65259,1735,63325,199,1901.0,51.0,1192540,34745.0,34323049,Africa,6.0
2021-11-29,Anguilla,1386,3,1273,110,91232.0,197.0,51382,3382175.0,15192,North America,7241.0
2021-11-30,Anguilla,1386,3,1273,110,91232.0,197.0,51382,3382175.0,15192,North America,7241.0
2021-12-01,Anguilla,1386,3,1273,110,91232.0,197.0,51382,3382175.0,15192,North America,7241.0
2021-12-02,Anguilla,1386,3,1273,110,91226.0,197.0,51382,3381952.0,15193,North America,7240.0
2021-12-03,Anguilla,1414,3,1323,88,93069.0,197.0,51382,3381952.0,15193,North America,5792.0
2021-12-04,Anguilla,1414,3,1323,88,93063.0,197.0,51382,3381730.0,15194,North America,5792.0
2021-12-05,Anguilla,1469,4,1383,82,96683.0,263.0,51382,3381730.0,15194,North America,5397.0
2021-11-29,Antigua and Barbuda,4141,117,4008,16,41797.0,1181.0,17782,179482.0,99074,North America,161.0
2021-11-30,Antigua and Barbuda,4141,117,4018,6,41797.0,1181.0,17782,179482.0,99074,North America,61.0
2021-12-01,Antigua and Barbuda,4141,117,4018,6,41797.0,1181.0,17782,179482.0,99074,North America,61.0
2021-12-02,Antigua and Barbuda,4141,117,4018,6,41795.0,1181.0,17782,179475.0,99078,North America,61.0
2021-12-03,Antigua and Barbuda,4146,117,4019,10,41845.0,1181.0,17782,179469.0,99081,North America,101.0
2021-12-04,Antigua and Barbuda,4147,117,4019,11,41852.0,1181.0,17782,179458.0,99087,North America,111.0
2021-12-05,Antigua and Barbuda,4148,117,4019,12,41862.0,1181.0,18088,182547.0,99087,North America,121.0
2021-11-29,Argentina,5328416,116554,5192404,19458,116388.0,2546.0,26173874,571714.0,45781390,South America,425.0
2021-11-30,Argentina,5330748,116589,5193691,20468,116439.0,2547.0,26222843,572784.0,45781390,South America,447.0
2021-12-01,Argentina,5330748,116589,5193691,20468,116439.0,2547.0,26222843,572784.0,45781390,South America,447.0
2021-12-02,Argentina,5332629,116597,5194780,21252,116475.0,2547.0,26260861,573586.0,45783654,South America,464.0
2021-12-03,Argentina,5337692,116639,5198099,22954,116582.0,2548.0,26355038,575629.0,45784786,South America,501.0
2021-12-04,Argentina,5340676,116646,5201840,22190,116639.0,2548.0,26410553,576798.0,45788182,South America,485.0
2021-12-05,Argentina,5343153,116680,5203809,22664,116693.0,2548.0,26452899,577723.0,45788182,South America,495.0
2021-11-29,Armenia,338120,7535,316198,14387,113804.0,2536.0,2360218,794401.0,2971068,Asia,4842.0
2021-11-30,Armenia,338518,7567,317175,13776,113938.0,2547.0,2366680,796576.0,2971068,Asia,4637.0
2021-12-01,Armenia,339020,7610,317765,13645,114107.0,2561.0,2373959,799025.0,2971068,Asia,4593.0
2021-12-02,Armenia,339020,7610,317765,13645,114106.0,2561.0,2373959,799017.0,2971098,Asia,4593.0
2021-12-03,Armenia,339977,7644,319476,12857,114427.0,2573.0,2389456,804229.0,2971113,Asia,4327.0
2021-12-04,Armenia,340723,7683,321106,11934,114677.0,2586.0,2401971,808429.0,2971159,Asia,4017.0
2021-12-05,Armenia,340818,7691,321884,11243,114709.0,2589.0,2405279,809542.0,2971159,Asia,3784.0
2021-11-29,Aruba,16335,174,15986,175,152086.0,1620.0,177885,1656192.0,107406,North America,1629.0
2021-11-30,Aruba,16354,174,15994,186,152263.0,1620.0,177885,1656192.0,107406,North America,1732.0
2021-12-01,Aruba,16354,174,15994,186,152263.0,1620.0,177885,1656192.0,107406,North America,1732.0
2021-12-02,Aruba,16372,174,16014,184,152427.0,1620.0,177885,1656146.0,107409,North America,1713.0
2021-12-03,Aruba,16414,174,16046,194,152816.0,1620.0,177885,1656131.0,107410,North America,1806.0
2021-12-04,Aruba,16450,174,16095,181,153146.0,1620.0,177885,1656069.0,107414,North America,1685.0
2021-12-05,Aruba,16450,174,16095,181,153146.0,1620.0,177885,1656069.0,107414,North America,1685.0
2021-11-29,Australia,209142,1997,192746,14399,8070.0,77.0,47748241,1842312.0,25917562,Australia/Oceania,556.0
2021-11-30,Australia,210239,2006,192746,15487,8112.0,77.0,47884203,1847558.0,25917562,Australia/Oceania,598.0
2021-12-01,Australia,211654,2011,192746,16897,8166.0,78.0,48067879,1854645.0,25917562,Australia/Oceania,652.0
2021-12-02,Australia,211654,2011,194835,14808,8166.0,78.0,48067879,1854529.0,25919178,Australia/Oceania,571.0
2021-12-03,Australia,214885,2032,196856,15997,8290.0,78.0,48415662,1867889.0,25919986,Australia/Oceania,617.0
2021-12-04,Australia,217842,2050,197070,18722,8404.0,79.0,48747330,1880509.0,25922411,Australia/Oceania,722.0
2021-12-05,Australia,219118,2056,197278,19784,8453.0,79.0,48880546,1885648.0,25922411,Australia/Oceania,763.0
2021-11-29,Austria,1151809,12425,994091,145293,126865.0,1369.0,110110679,12128085.0,9078983,Europe,16003.0
2021-11-30,Austria,1159995,12492,1007909,139594,127767.0,1376.0,110579782,12179754.0,9078983,Europe,15376.0
2021-12-01,Austria,1159995,12492,1007909,139594,127767.0,1376.0,110579782,12179754.0,9078983,Europe,15376.0
2021-12-02,Austria,1170362,12553,1022661,135148,128905.0,1383.0,111071336,12233519.0,9079263,Europe,14885.0
2021-12-03,Austria,1185982,12693,1050051,123238,130623.0,1398.0,111937966,12328779.0,9079404,Europe,13573.0
2021-12-04,Austria,1198478,12796,1075482,110200,131994.0,1409.0,112526834,12393063.0,9079824,Europe,12137.0
2021-12-05,Austria,1203103,12844,1087133,103126,132503.0,1415.0,112907381,12434975.0,9079824,Europe,11358.0
2021-11-29,Azerbaijan,586640,7833,552815,25992,57132.0,763.0,5526664,538230.0,10268225,Asia,2531.0
2021-11-30,Azerbaijan,588318,7856,554749,25713,57295.0,765.0,5539284,539459.0,10268225,Asia,2504.0
2021-12-01,Azerbaijan,588318,7856,554749,25713,57295.0,765.0,5539284,539459.0,10268225,Asia,2504.0
2021-12-02,Azerbaijan,590113,7884,556716,25513,57467.0,768.0,5551849,540656.0,10268724,Asia,2485.0
2021-12-03,Azerbaijan,593588,7929,560999,24660,57804.0,772.0,5578401,543229.0,10268973,Asia,2401.0
2021-12-04,Azerbaijan,596388,7967,564577,23844,58072.0,776.0,5602773,545562.0,10269722,Asia,2322.0
2021-12-05,Azerbaijan,596973,7983,565521,23469,58129.0,777.0,5608158,546087.0,10269722,Asia,2285.0
2021-11-29,Bahamas,22763,671,21607,485,57115.0,1684.0,168197,422022.0,398550,North America,1217.0
2021-11-30,Bahamas,22791,671,21609,511,57185.0,1684.0,168678,423229.0,398550,North America,1282.0
2021-12-01,Bahamas,22791,671,21609,511,57185.0,1684.0,168678,423229.0,398550,North America,1282.0
2021-12-02,Bahamas,22802,677,21614,511,57210.0,1699.0,169024,424076.0,398570,North America,1282.0
2021-12-03,Bahamas,22825,695,21615,515,57266.0,1744.0,169626,425576.0,398580,North America,1292.0
2021-12-04,Bahamas,22836,705,21616,515,57289.0,1769.0,170200,426983.0,398611,North America,1292.0
2021-12-05,Bahamas,22839,705,21644,490,57296.0,1769.0,170281,427186.0,398611,North America,1229.0
2021-11-29,Bahrain,277628,1394,275929,305,155548.0,781.0,7384537,4137362.0,1784842,Asia,171.0
2021-11-30,Bahrain,277690,1394,275953,343,155582.0,781.0,7401706,4146981.0,1784842,Asia,192.0
2021-12-01,Bahrain,277690,1394,275953,343,155582.0,781.0,7401706,4146981.0,1784842,Asia,192.0
2021-12-02,Bahrain,277721,1394,275999,328,155571.0,781.0,7421582,4157360.0,1785167,Asia,184.0
2021-12-03,Bahrain,277772,1394,276058,320,155586.0,781.0,7458378,4177591.0,1785330,Asia,179.0
2021-12-04,Bahrain,277831,1394,276123,314,155576.0,781.0,7495132,4197030.0,1785818,Asia,176.0
2021-12-05,Bahrain,277856,1394,276148,314,155590.0,781.0,7513731,4207445.0,1785818,Asia,176.0
2021-11-29,Bangladesh,1576011,27980,1540597,7434,9437.0,168.0,10868949,65081.0,167006043,Asia,45.0
2021-11-30,Bangladesh,1576284,27981,1540965,7338,9438.0,168.0,10888751,65200.0,167006043,Asia,44.0
2021-12-01,Bangladesh,1576284,27981,1540965,7338,9438.0,168.0,10888751,65200.0,167006043,Asia,44.0
2021-12-02,Bangladesh,1576566,27983,1541348,7235,9440.0,168.0,10907602,65309.0,167015002,Asia,43.0
2021-12-03,Bangladesh,1577070,27989,1541886,7195,9442.0,168.0,10946046,65538.0,167019482,Asia,43.0
2021-12-04,Bangladesh,1577443,28001,1542274,7168,9444.0,168.0,10981606,65745.0,167032920,Asia,43.0
2021-12-05,Bangladesh,1577720,28005,1542600,7115,9446.0,168.0,11000843,65860.0,167032920,Asia,43.0
2021-11-29,Barbados,25152,228,21727,3197,87372.0,792.0,435366,1512360.0,287872,North America,11106.0
2021-11-30,Barbados,25316,229,22029,3058,87942.0,795.0,436531,1516407.0,287872,North America,10623.0
2021-12-01,Barbados,25316,229,22029,3058,87942.0,795.0,436531,1516407.0,287872,North America,10623.0
2021-12-02,Barbados,25429,231,22313,2885,88334.0,802.0,437308,1519095.0,287874,North America,10022.0
2021-12-03,Barbados,25792,234,22992,2566,89594.0,813.0,439135,1525436.0,287875,North America,8914.0
2021-12-04,Barbados,26095,238,23417,2440,90646.0,827.0,442981,1538780.0,287878,North America,8476.0
2021-12-05,Barbados,26200,240,23596,2364,91011.0,834.0,443979,1542247.0,287878,North America,8212.0
2021-11-29,Belarus,653323,5067,640132,8124,69172.0,536.0,10381143,1099123.0,9444931,Europe,860.0
2021-11-30,Belarus,654718,5081,641570,8067,69320.0,538.0,10386520,1099693.0,9444931,Europe,854.0
2021-12-01,Belarus,654718,5081,641570,8067,69320.0,538.0,10386520,1099693.0,9444931,Europe,854.0
2021-12-02,Belarus,656510,5098,643786,7626,69509.0,540.0,10425536,1103825.0,9444914,Europe,807.0
2021-12-03,Belarus,660204,5130,648305,6769,69901.0,543.0,10478624,1109447.0,9444906,Europe,717.0
2021-12-04,Belarus,663813,5162,652874,5777,70283.0,547.0,10525190,1114380.0,9444880,Europe,612.0
2021-12-05,Belarus,665125,5176,654000,5949,70422.0,548.0,10539713,1115918.0,9444880,Europe,630.0
2021-11-29,Belgium,1734562,26922,1325755,381885,148751.0,2309.0,24287332,2082805.0,11660874,Europe,32749.0
2021-11-30,Belgium,1749469,26966,1333810,388693,150029.0,2313.0,24619234,2111268.0,11660874,Europe,33333.0
2021-12-01,Belgium,1766035,27015,1340916,398104,151450.0,2317.0,24726131,2120435.0,11660874,Europe,34140.0
2021-12-02,Belgium,1766035,27015,1340916,398104,151446.0,2317.0,24726131,2120385.0,11661149,Europe,34139.0
2021-12-03,Belgium,1809557,27120,1351555,430882,155176.0,2326.0,24998146,2143687.0,11661287,Europe,36950.0
2021-12-04,Belgium,1842761,27224,1368222,447315,158018.0,2334.0,25109681,2153175.0,11661699,Europe,38358.0
2021-12-05,Belgium,1855062,27276,1378608,449178,159073.0,2339.0,25109681,2153175.0,11661699,Europe,38517.0
2021-11-29,Belize,30338,574,28646,1118,74392.0,1408.0,347892,853072.0,407811,North America,2741.0
2021-11-30,Belize,30431,578,28768,1085,74620.0,1417.0,349397,856762.0,407811,North America,2661.0
2021-12-01,Belize,30431,578,28768,1085,74620.0,1417.0,349397,856762.0,407811,North America,2661.0
2021-12-02,Belize,30517,578,28860,1079,74824.0,1417.0,351066,860772.0,407850,North America,2646.0
2021-12-03,Belize,30680,579,28979,1122,75220.0,1420.0,354279,868608.0,407870,North America,2751.0
2021-12-04,Belize,30680,579,28979,1122,75209.0,1419.0,354279,868482.0,407929,North America,2750.0
2021-12-05,Belize,30824,582,29225,1017,75562.0,1427.0,357056,875290.0,407929,North America,2493.0
2021-11-29,Benin,24850,161,24546,143,1977.0,13.0,604310,48073.0,12570703,Africa,11.0
2021-11-30,Benin,24850,161,24546,143,1977.0,13.0,604310,48073.0,12570703,Africa,11.0
2021-12-01,Benin,24850,161,24546,143,1977.0,13.0,604310,48073.0,12570703,Africa,11.0
2021-12-02,Benin,24863,161,24546,156,1978.0,13.0,604310,48066.0,12572444,Africa,12.0
2021-12-03,Benin,24863,161,24546,156,1977.0,13.0,604310,48063.0,12573314,Africa,12.0
2021-12-04,Benin,24863,161,24546,156,1977.0,13.0,604310,48053.0,12575926,Africa,12.0
2021-12-05,Benin,24863,161,24546,156,1977.0,13.0,604310,48053.0,12575926,Africa,12.0
2021-11-29,Bermuda,5748,106,5609,33,92780.0,1711.0,646478,10434975.0,61953,North America,533.0
2021-11-30,Bermuda,5748,106,5609,33,92780.0,1711.0,646478,10434975.0,61953,North America,533.0
2021-12-01,Bermuda,5748,106,5609,33,92780.0,1711.0,646478,10434975.0,61953,North America,533.0
2021-12-02,Bermuda,5748,106,5609,33,92782.0,1711.0,646478,10435143.0,61952,North America,533.0
2021-12-03,Bermuda,5751,106,5615,30,92831.0,1711.0,650541,10500896.0,61951,North America,484.0
2021-12-04,Bermuda,5751,106,5615,30,92834.0,1711.0,650541,10501235.0,61949,North America,484.0
2021-12-05,Bermuda,5751,106,5615,30,92834.0,1711.0,650541,10501235.0,61949,North America,484.0
2021-11-29,Bhutan,2640,3,2620,17,3369.0,4.0,1240776,1583424.0,783603,Asia,22.0
2021-11-30,Bhutan,2640,3,2623,14,3369.0,4.0,1241845,1584788.0,783603,Asia,18.0
2021-12-01,Bhutan,2640,3,2623,14,3369.0,4.0,1241845,1584788.0,783603,Asia,18.0
2021-12-02,Bhutan,2640,3,2623,14,3369.0,4.0,1244143,1587626.0,783650,Asia,18.0
2021-12-03,Bhutan,2641,3,2623,15,3370.0,4.0,1247598,1591988.0,783673,Asia,19.0
2021-12-04,Bhutan,2641,3,2625,13,3370.0,4.0,1251152,1596382.0,783742,Asia,17.0
2021-12-05,Bhutan,2641,3,2625,13,3370.0,4.0,1251658,1597028.0,783742,Asia,17.0
2021-11-29,Bolivia,536472,19161,491946,25365,45090.0,1610.0,2586370,217383.0,11897757,South America,2132.0
2021-11-30,Bolivia,537559,19171,492921,25467,45182.0,1611.0,2593083,217947.0,11897757,South America,2140.0
2021-12-01,Bolivia,537559,19171,492921,25467,45182.0,1611.0,2593083,217947.0,11897757,South America,2140.0
2021-12-02,Bolivia,538647,19188,493941,25518,45270.0,1613.0,2593083,217931.0,11898628,South America,2145.0
2021-12-03,Bolivia,540869,19205,495349,26315,45455.0,1614.0,2593083,217923.0,11899063,South America,2212.0
2021-12-04,Bolivia,542859,19215,497115,26529,45617.0,1615.0,2593083,217899.0,11900368,South America,2229.0
2021-12-05,Bolivia,543390,19222,497887,26281,45662.0,1615.0,2593083,217899.0,11900368,South America,2208.0
2021-11-29,Bosnia and Herzegovina,274219,12555,192218,69446,84324.0,3861.0,1393545,428523.0,3251974,Europe,21355.0
2021-11-30,Bosnia and Herzegovina,275065,12586,192218,70261,84584.0,3870.0,1397409,429711.0,3251974,Europe,21606.0
2021-12-01,Bosnia and Herzegovina,275065,12586,192218,70261,84584.0,3870.0,1397409,429711.0,3251974,Europe,21606.0
2021-12-02,Bosnia and Herzegovina,275965,12628,192218,71119,84864.0,3883.0,1401319,430928.0,3251863,Europe,21870.0
2021-12-03,Bosnia and Herzegovina,277228,12687,192218,72323,85254.0,3902.0,1407341,432787.0,3251807,Europe,22241.0
2021-12-04,Bosnia and Herzegovina,278244,12727,192218,73299,85570.0,3914.0,1407341,432809.0,3251641,Europe,22542.0
2021-12-05,Bosnia and Herzegovina,278511,12780,192218,73513,85652.0,3930.0,1413601,434735.0,3251641,Europe,22608.0
2021-11-29,Botswana,195068,2418,192048,602,80654.0,1000.0,1869359,772912.0,2418592,Africa,249.0
2021-11-30,Botswana,195068,2418,192048,602,80654.0,1000.0,1869359,772912.0,2418592,Africa,249.0
2021-12-01,Botswana,195068,2418,192048,602,80654.0,1000.0,1869359,772912.0,2418592,Africa,249.0
2021-12-02,Botswana,195068,2418,192048,602,80645.0,1000.0,1869359,772829.0,2418852,Africa,249.0
2021-12-03,Botswana,195302,2419,192452,431,80737.0,1000.0,1873214,774381.0,2418982,Africa,178.0
2021-12-04,Botswana,195302,2419,192452,431,80724.0,1000.0,1873214,774257.0,2419371,Africa,178.0
2021-12-05,Botswana,195552,2420,192452,680,80828.0,1000.0,1905739,787700.0,2419371,Africa,281.0
2021-11-29,Brazil,22084749,614428,21304115,166206,102866.0,2862.0,63776166,297057.0,214693373,South America,774.0
2021-11-30,Brazil,22094459,614754,21321631,158074,102912.0,2863.0,63776166,297057.0,214693373,South America,736.0
2021-12-01,Brazil,22094459,614754,21321631,158074,102912.0,2863.0,63776166,297057.0,214693373,South America,736.0
2021-12-02,Brazil,22105872,615020,21339118,151734,102961.0,2865.0,63776166,297046.0,214701617,South America,707.0
2021-12-03,Brazil,22129409,615454,21357412,156543,103069.0,2866.0,63776166,297040.0,214705739,South America,729.0
2021-12-04,Brazil,22143091,615674,21362553,164864,103126.0,2867.0,63776166,297023.0,214718105,South America,768.0
2021-12-05,Brazil,22147476,615789,21370388,161299,103147.0,2868.0,63776166,297023.0,214718105,South America,751.0
2021-11-29,British Virgin Islands,2765,38,,,90611.0,1245.0,82570,2705882.0,30515,North America,2556.0
2021-11-30,British Virgin Islands,2765,38,,,90611.0,1245.0,82570,2705882.0,30515,North America,2556.0
2021-12-01,British Virgin Islands,2765,38,,,90611.0,1245.0,82570,2705882.0,30515,North America,2556.0
2021-12-02,British Virgin Islands,2809,38,,,92050.0,1245.0,82570,2705794.0,30516,North America,3998.0
2021-12-03,British Virgin Islands,2809,38,,,92047.0,1245.0,82570,2705705.0,30517,North America,3998.0
2021-12-04,British Virgin Islands,2809,38,,,92044.0,1245.0,82570,2705616.0,30518,North America,3998.0
2021-12-05,British Virgin Islands,2816,38,,,92273.0,1245.0,82570,2705616.0,30518,North America,4227.0
2021-11-29,Brunei ,15058,97,14451,510,33961.0,219.0,614805,1386588.0,443394,Asia,1150.0
2021-11-30,Brunei ,15058,97,14451,510,33961.0,219.0,614805,1386588.0,443394,Asia,1150.0
2021-12-01,Brunei ,15058,97,14451,510,33961.0,219.0,614805,1386588.0,443394,Asia,1150.0
2021-12-02,Brunei ,15111,97,14565,449,34079.0,219.0,623500,1406126.0,443417,Asia,1013.0
2021-12-03,Brunei ,15142,98,14647,397,34148.0,221.0,631475,1424076.0,443428,Asia,895.0
2021-12-04,Brunei ,15186,98,14773,315,34244.0,221.0,631475,1423966.0,443462,Asia,710.0
2021-12-05,Brunei ,15202,98,14837,267,34280.0,221.0,631475,1423966.0,443462,Asia,602.0
2021-11-29,Bulgaria,692376,28325,558928,105123,100716.0,4120.0,6549700,952752.0,6874506,Europe,15292.0
2021-11-30,Bulgaria,695057,28453,561485,105119,101106.0,4139.0,6576558,956659.0,6874506,Europe,15291.0
2021-12-01,Bulgaria,695057,28453,561485,105119,101106.0,4139.0,6576558,956659.0,6874506,Europe,15291.0
2021-12-02,Bulgaria,697162,28542,563574,105046,101417.0,4152.0,6604490,960762.0,6874222,Europe,15281.0
2021-12-03,Bulgaria,701469,28769,570241,102459,102046.0,4185.0,6668930,970156.0,6874080,Europe,14905.0
2021-12-04,Bulgaria,703160,28852,573497,100811,102298.0,4197.0,6704606,975407.0,6873653,Europe,14666.0
2021-12-05,Bulgaria,705586,29060,577043,99483,102651.0,4228.0,6739603,980498.0,6873653,Europe,14473.0
2021-11-29,Burkina Faso,15711,281,15211,219,724.0,13.0,230176,10602.0,21710933,Africa,10.0
2021-11-30,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10789.0,21710933,Africa,17.0
2021-12-01,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10789.0,21710933,Africa,17.0
2021-12-02,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10788.0,21714077,Africa,17.0
2021-12-03,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10787.0,21715649,Africa,17.0
2021-12-04,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10785.0,21720365,Africa,17.0
2021-12-05,Burkina Faso,16000,286,15345,369,737.0,13.0,234250,10785.0,21720365,Africa,17.0
